SampleID,Spike-in-Label,Spike-in-Con. ,Spike-in-added,Experiment,Hratio,Day_charactor,Day,Replicates
CE1H0D12R3,B,0.001,1,CE1,H0,D12,12,R3
CE1H0D12R4,B,0.001,1,CE1,H0,D12,12,R4
CE1H0D12R5,B,0.001,1,CE1,H0,D12,12,R5
CE1H50D12R3,B,0.001,1,CE1,H50,D12,12,R3
CE2H0D12R1,A,0.001,0.5,CE2,H0,D12,12,R1
CE2H0D12R2,A,0.001,0.5,CE2,H0,D12,12,R2
CE2H0D12R3,A,0.001,0.5,CE2,H0,D12,12,R3
CE2H0D12R4,A,0.001,0.5,CE2,H0,D12,12,R4
CE2H0D12R5,A,0.001,0.5,CE2,H0,D12,12,R5
CE2H100D12R1,B,0.001,1,CE2,H100,D12,12,R1
CE2H100D12R2,A,0.001,0.5,CE2,H100,D12,12,R2
CE2H100D12R5,A,0.001,0.5,CE2,H100,D12,12,R5
CE1H100D2R1,C,0.01,0.5,CE1,H100,D2,2,R1
CE1H100D2R2,C,0.01,0.5,CE1,H100,D2,2,R2
CE1H100D2R3,C,0.01,0.5,CE1,H100,D2,2,R3
CE1H100D2R4,C,0.01,0.5,CE1,H100,D2,2,R4
CE1H100D2R5,C,0.01,0.5,CE1,H100,D2,2,R5
CE1H50D2R3,D,0.01,1,CE1,H50,D2,2,R3
CE1H50D2R4,C,0.01,0.5,CE1,H50,D2,2,R4
CE1H50D2R5,C,0.01,0.5,CE1,H50,D2,2,R5
CE1H75D2R1,C,0.01,0.5,CE1,H75,D2,2,R1
CE1H75D2R2,C,0.01,0.5,CE1,H75,D2,2,R2
CE1H75D2R3,C,0.01,0.5,CE1,H75,D2,2,R3
CE1H75D2R4,C,0.01,0.5,CE1,H75,D2,2,R4
CE1H75D2R5,C,0.01,0.5,CE1,H75,D2,2,R5
CE1H0D2R1,A,0.001,0.5,CE1,H0,D2,2,R1
CE1H0D2R2,A,0.001,0.5,CE1,H0,D2,2,R2
CE1H0D2R3,A,0.001,0.5,CE1,H0,D2,2,R3
CE1H0D2R4,A,0.001,0.5,CE1,H0,D2,2,R4
CE1H0D2R5,A,0.001,0.5,CE1,H0,D2,2,R5
CE1H25D2R1,B,0.001,1,CE1,H25,D2,2,R1
CE1H25D2R2,B,0.001,1,CE1,H25,D2,2,R2
CE1H25D2R3,B,0.001,1,CE1,H25,D2,2,R3
CE1H25D2R4,B,0.001,1,CE1,H25,D2,2,R4
CE1H25D2R5,B,0.001,1,CE1,H25,D2,2,R5
CE1H50D2R1,A,0.001,0.5,CE1,H50,D2,2,R1
CE1H50D2R2,B,0.001,1,CE1,H50,D2,2,R2
CE1H5D2R1,A,0.001,0.5,CE1,H5,D2,2,R1
CE1H5D2R2,A,0.001,0.5,CE1,H5,D2,2,R2
CE1H5D2R3,A,0.001,0.5,CE1,H5,D2,2,R3
CE1H5D2R4,A,0.001,0.5,CE1,H5,D2,2,R4
CE1H5D2R5,A,0.001,0.5,CE1,H5,D2,2,R5
CE2H0D2R1,A,0.001,0.5,CE2,H0,D2,2,R1
CE2H0D2R2,A,0.001,0.5,CE2,H0,D2,2,R2
CE2H0D2R3,A,0.001,0.5,CE2,H0,D2,2,R3
CE2H0D2R4,A,0.001,0.5,CE2,H0,D2,2,R4
CE2H0D2R5,A,0.001,0.5,CE2,H0,D2,2,R5
CE2H100D2R1,A,0.001,0.5,CE2,H100,D2,2,R1
CE2H100D2R2,A,0.001,0.5,CE2,H100,D2,2,R2
CE2H100D2R3,A,0.001,0.5,CE2,H100,D2,2,R3
CE2H100D2R4,A,0.001,0.5,CE2,H100,D2,2,R4
CE2H100D2R5,A,0.001,0.5,CE2,H100,D2,2,R5
CE1H75D4R1,C,0.01,0.5,CE1,H75,D4,4,R1
CE1H75D4R2,C,0.01,0.5,CE1,H75,D4,4,R2
CE1H75D4R3,C,0.01,0.5,CE1,H75,D4,4,R3
CE1H75D4R4,C,0.01,0.5,CE1,H75,D4,4,R4
CE1H75D4R5,C,0.01,0.5,CE1,H75,D4,4,R5
CE1H0D4R1,A,0.001,0.5,CE1,H0,D4,4,R1
CE1H0D4R2,A,0.001,0.5,CE1,H0,D4,4,R2
CE1H0D4R3,A,0.001,0.5,CE1,H0,D4,4,R3
CE1H0D4R4,A,0.001,0.5,CE1,H0,D4,4,R4
CE1H0D4R5,A,0.001,0.5,CE1,H0,D4,4,R5
CE1H100D4R1,B,0.001,1,CE1,H100,D4,4,R1
CE1H100D4R2,B,0.001,1,CE1,H100,D4,4,R2
CE1H100D4R3,B,0.001,1,CE1,H100,D4,4,R3
CE1H100D4R4,B,0.001,1,CE1,H100,D4,4,R4
CE1H100D4R5,B,0.001,1,CE1,H100,D4,4,R5
CE1H25D4R1,B,0.001,1,CE1,H25,D4,4,R1
CE1H25D4R2,B,0.001,1,CE1,H25,D4,4,R2
CE1H25D4R3,B,0.001,1,CE1,H25,D4,4,R3
CE1H25D4R4,B,0.001,1,CE1,H25,D4,4,R4
CE1H25D4R5,B,0.001,1,CE1,H25,D4,4,R5
CE1H50D4R1,B,0.001,1,CE1,H50,D4,4,R1
CE1H50D4R2,B,0.001,1,CE1,H50,D4,4,R2
CE1H50D4R3,B,0.001,1,CE1,H50,D4,4,R3
CE1H50D4R4,B,0.001,1,CE1,H50,D4,4,R4
CE1H50D4R5,B,0.001,1,CE1,H50,D4,4,R5
CE1H5D4R1,B,0.001,1,CE1,H5,D4,4,R1
CE1H5D4R2,B,0.001,1,CE1,H5,D4,4,R2
CE1H5D4R3,B,0.001,1,CE1,H5,D4,4,R3
CE1H5D4R4,B,0.001,1,CE1,H5,D4,4,R4
CE1H5D4R5,B,0.001,1,CE1,H5,D4,4,R5
CE2H0D4R1,A,0.001,0.5,CE2,H0,D4,4,R1
CE2H0D4R2,A,0.001,0.5,CE2,H0,D4,4,R2
CE2H0D4R3,A,0.001,0.5,CE2,H0,D4,4,R3
CE2H0D4R4,A,0.001,0.5,CE2,H0,D4,4,R4
CE2H0D4R5,A,0.001,0.5,CE2,H0,D4,4,R5
CE2H100D4R1,A,0.001,0.5,CE2,H100,D4,4,R1
CE2H100D4R2,A,0.001,0.5,CE2,H100,D4,4,R2
CE2H100D4R3,A,0.001,0.5,CE2,H100,D4,4,R3
CE2H100D4R4,A,0.001,0.5,CE2,H100,D4,4,R4
CE2H100D4R5,A,0.001,0.5,CE2,H100,D4,4,R5
CE1H100D6R1,D,0.01,1,CE1,H100,D6,6,R1
CE1H100D6R2,C,0.01,0.5,CE1,H100,D6,6,R2
CE1H100D6R4,C,0.01,0.5,CE1,H100,D6,6,R4
CE1H50D6R1,D,0.01,1,CE1,H50,D6,6,R1
CE1H50D6R2,C,0.01,0.5,CE1,H50,D6,6,R2
CE1H50D6R5,C,0.01,0.5,CE1,H50,D6,6,R5
CE1H5D6R4,C,0.01,0.5,CE1,H5,D6,6,R4
CE1H5D6R5,C,0.01,0.5,CE1,H5,D6,6,R5
CE1H75D6R1,C,0.01,0.5,CE1,H75,D6,6,R1
CE1H75D6R2,C,0.01,0.5,CE1,H75,D6,6,R2
CE1H75D6R3,C,0.01,0.5,CE1,H75,D6,6,R3
CE1H75D6R4,MaybeD,0.01,1,CE1,H75,D6,6,R4
CE1H75D6R5,MaybeD,0.01,1,CE1,H75,D6,6,R5
CE2H100D6R3,C,0.01,0.5,CE2,H100,D6,6,R3
CE1H0D6R1,B,0.001,1,CE1,H0,D6,6,R1
CE1H0D6R2,B,0.001,1,CE1,H0,D6,6,R2
CE1H0D6R3,B,0.001,1,CE1,H0,D6,6,R3
CE1H0D6R4,B,0.001,1,CE1,H0,D6,6,R4
CE1H0D6R5,B,0.001,1,CE1,H0,D6,6,R5
CE1H100D6R3,A,0.001,0.5,CE1,H100,D6,6,R3
CE1H100D6R5,A,0.001,0.5,CE1,H100,D6,6,R5
CE1H25D6R1,B,0.001,1,CE1,H25,D6,6,R1
CE1H25D6R2,B,0.001,1,CE1,H25,D6,6,R2
CE1H25D6R3,B,0.001,1,CE1,H25,D6,6,R3
CE1H25D6R4,B,0.001,1,CE1,H25,D6,6,R4
CE1H25D6R5,B,0.001,1,CE1,H25,D6,6,R5
CE1H50D6R3,B,0.001,1,CE1,H50,D6,6,R3
CE1H50D6R4,B,0.001,1,CE1,H50,D6,6,R4
CE1H5D6R1,B,0.001,1,CE1,H5,D6,6,R1
CE1H5D6R2,B,0.001,1,CE1,H5,D6,6,R2
CE1H5D6R3,A,0.001,0.5,CE1,H5,D6,6,R3
CE2H0D6R1,A,0.001,0.5,CE2,H0,D6,6,R1
CE2H0D6R2,A,0.001,0.5,CE2,H0,D6,6,R2
CE2H0D6R3,A,0.001,0.5,CE2,H0,D6,6,R3
CE2H0D6R4,A,0.001,0.5,CE2,H0,D6,6,R4
CE2H0D6R5,A,0.001,0.5,CE2,H0,D6,6,R5
CE2H100D6R1,A,0.001,0.5,CE2,H100,D6,6,R1
CE2H100D6R2,A,0.001,0.5,CE2,H100,D6,6,R2
CE2H100D6R4,A,0.001,0.5,CE2,H100,D6,6,R4
CE2H100D6R5,A,0.001,0.5,CE2,H100,D6,6,R5
CE1H50D8R1,D,0.01,1,CE1,H50,D8,8,R1
CE1H50D8R2,D,0.01,1,CE1,H50,D8,8,R2
CE1H50D8R3,D,0.01,1,CE1,H50,D8,8,R3
CE1H50D8R4,D,0.01,1,CE1,H50,D8,8,R4
CE1H50D8R5,D,0.01,1,CE1,H50,D8,8,R5
CE1H75D8R1,MaybeD,0.01,1,CE1,H75,D8,8,R1
CE1H75D8R2,C,0.01,0.5,CE1,H75,D8,8,R2
CE1H75D8R3,C,0.01,0.5,CE1,H75,D8,8,R3
CE1H75D8R4,C,0.01,0.5,CE1,H75,D8,8,R4
CE1H75D8R5,C,0.01,0.5,CE1,H75,D8,8,R5
CE2H100D8R1,D,0.01,1,CE2,H100,D8,8,R1
CE2H100D8R2,D,0.01,1,CE2,H100,D8,8,R2
CE2H100D8R3,D,0.01,1,CE2,H100,D8,8,R3
CE2H100D8R4,D,0.01,1,CE2,H100,D8,8,R4
CE2H100D8R5,D,0.01,1,CE2,H100,D8,8,R5
CE1H0D8R1,A,0.001,0.5,CE1,H0,D8,8,R1
CE1H0D8R2,A,0.001,0.5,CE1,H0,D8,8,R2
CE1H0D8R3,A,0.001,0.5,CE1,H0,D8,8,R3
