OTUID	D0	D10AR1	D10AR2	D10AR3	D10C50R1	D10C50R2	D10C50R3	D10C95R1	D10C95R2	D10C95R3	D10D100R1	D10D100R2	D10D100R3	D10H50R1	D10H50R2	D10H50R3	D10H95R1	D10H95R2	D10H95R3	D2AR1	D2AR2	D2AR3	D2C50R1	D2C50R2	D2C50R3	D2C95R1	D2C95R2	D2C95R3	D2D100R1	D2D100R2	D2D100R3	D2H50R1	D2H50R2	D2H50R3	D2H95R1	D2H95R2	D2H95R3	D4AR1	D4AR2	D4AR3	D4C50R1	D4C50R2	D4C50R3	D4C95R1	D4C95R2	D4C95R3	D4D100R1	D4D100R2	D4D100R3	D4H50R1	D4H50R2	D4H50R3	D4H95R1	D4H95R2	D4H95R3	D6AR1	D6AR2	D6AR3	D6C50R1	D6C50R2	D6C50R3	D6C95R1	D6C95R2	D6C95R3	D6D100R1	D6D100R2	D6D100R3	D6H50R1	D6H50R2	D6H50R3	D6H95R1	D6H95R2	D6H95R3	D8AR1	D8AR2	D8AR3	D8C50R1	D8C50R2	D8C50R3	D8C95R1	D8C95R2	D8C95R3	D8D100R1	D8D100R2	D8D100R3	D8H50R1	D8H50R2	D8H50R3	D8H95R1	D8H95R2	D8H95R3
c7fb3bec6f60542d0daddc0016cfbf7f	949.0	21.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	17.0	0.0	24.0	26.0	43.0	15.0	0.0	0.0	21.0	0.0	47.0	19.0	38.0	0.0	32.0	37.0	40.0	65.0	43.0	44.0	42.0	71.0	66.0	0.0	0.0	0.0	0.0	25.0	0.0	35.0	0.0	36.0	36.0	47.0	118.0	40.0	67.0	67.0	20.0	30.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	39.0	38.0	29.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	18.0	21.0	0.0	61.0	0.0
265f935ef742133fff52f8052dfc180f	15.0	0.0	0.0	0.0	0.0	36.0	12.0	11.0	10.0	10.0	24.0	66.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	31.0	53.0	0.0	0.0	0.0	32.0	25.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	47.0	53.0	0.0	0.0	0.0	51.0	39.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	59.0	84.0	19.0	19.0	0.0	15.0	14.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	15.0	12.0	0.0	22.0	33.0	25.0	47.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
a2c767aa49b9f704f2580fce966b1301	0.0	0.0	0.0	0.0	33.0	64.0	25.0	0.0	2.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	135.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	387.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	11.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
643b971bcf5c440babe7d74c3cd785a1	79.0	0.0	0.0	0.0	11.0	0.0	13.0	0.0	0.0	0.0	0.0	22.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	41.0	0.0	0.0	0.0	25.0	27.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	87.0	78.0	0.0	0.0	0.0	0.0	20.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27e58f5a93f47f35f3c0455d3e890c6e	277.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	16.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0	9.0	0.0	15.0	0.0	0.0	7.0	7.0	6.0	0.0	5.0	0.0	6.0	0.0	6.0	0.0	0.0	0.0	0.0	13.0	0.0	4.0	20.0	0.0	0.0	0.0	6.0	3.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	23.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	9.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	12.0	0.0
1aa7ac9dc8420d7ad71b153f1a417f71	8.0	0.0	0.0	0.0	10.0	16.0	0.0	16.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	2.0	7.0	33.0	40.0	10.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	6.0	9.0	0.0	5.0	113.0	4.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	12.0	0.0	18.0	54.0	10.0	4.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	12.0	27.0	0.0	11.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b645ea149d64562e32e7d8a8e8992e7d	228.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	6.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0
9415dfe2e315b17f4493d8b3c8b5bfbe	241.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ea8e918ffce0f55a152f342e9ac6b67b	0.0	0.0	0.0	0.0	7.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
737ff89c76ce474d1f881a7534d1f106	136.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
